[19/04/2024 13:32:31] lalito connected from 127.0.0.1:59896
[19/04/2024 13:33:12] kartone connected from 127.0.0.1:59928
[19/04/2024 13:36:45] dollonde connected from 127.0.0.1:60057
[19/04/2024 13:37:08] dollonde is disconnected [total client 2]
[19/04/2024 13:37:19] kartone is disconnected [total client 1]
[19/04/2024 13:37:43] lalito is disconnected [total client 0]
[06/05/2024 05:33:07] Ivan connected from 127.0.0.1:56677
[06/05/2024 05:33:43] Karlios connected from 127.0.0.1:56906
[06/05/2024 05:34:09] Karlios is disconnected [total client 1]
[06/05/2024 05:34:10] Ivan is disconnected [total client 0]
